text,binary_label_norm,risk_label
Is up at 7 am for no reason. Had a great day yesterday... hopes today is just as good,non-suicidal,low
"@jdickerson www.youtube.com/Titomi15..WATCH THE VIDEOS,COMMENT&amp;SUSCRIBE!! &amp; FOLLOW me , Cheers x",non-suicidal,low
@michaelgrainger @Scyranth *gigglessssssss* Ya'll are awesomesauce,non-suicidal,low
@Target I am loving you a.n.d line at the moment! And my bank balance is liking it too! Great style made affordable #style #shopping,non-suicidal,low
Adam Sandler before he became shit predicted my future mental state...,suicidal,moderate
"I quit, I keep grinding but still fucking suck. I no life something and I still fucking suck. Iâm never gonna get iâ¦ https://t.co/90Myx2lVgt",suicidal,high
"@eliseland :O he just replied to someone... Dougie replied to quite a few people this afternoon so you never know... besides, it's fun!",non-suicidal,low
"sis, don't. my life isnt how you  think it is. my life is a miserable.",suicidal,high
@ddlovato here are 15:55 GOOD MORNING!,non-suicidal,low
"Just waking up and can't decide what drink to have for breakfast &amp; some people are becoming twitter addicts, its funny",non-suicidal,low
honestly i'm so tired of everything and myself can i just die already,suicidal,high
Reminder: SR Release date set for Easter Sunday,non-suicidal,low
@ROBsessedBlog http://i42.tinypic.com/drbadi.jpg Mine.,non-suicidal,low
@webfreelancer hi hi,non-suicidal,low
RT @princessjmee: Never been to war but I get terrible nightmares that wake me up fighting for my life. #thisisus #ptsd,suicidal,moderate
"@GreigWells Haha, they are a flamin distraction",non-suicidal,low
I LOVE sleeping until I'm FINISHED!,non-suicidal,low
thanks for the welcome Mark!!,non-suicidal,low
"@neilpk70 @2pc_Viking @DianeMariePosts @M_S_Fricker You are being narrow minded....it's about the people, who jsutâ¦ https://t.co/4gsj86SZmV",suicidal,low
I hate being by myself. Bc everything a damn music video,suicidal,moderate
"@kimlet9 : oh, that was great! Thanks, I'll pass it around.",non-suicidal,low
i am getting close and i am not sure what to do anymore i have been really struggeling for about 5 month now i broke up with someone who i loved very much i first turned to drinking and drugs to ease the pain but i got quite suicidal it got so bad i had to make some major changes in my life or i didnt think i was going to make it i have done absolutely everything i can to pick myself up therapy psychiatrist lexapro quit drinking quit smoking started working out started eating right started travelling focused on work and even started hobbies despite all this somet it feels like nothing is helping i can barely get out of bed most daysi amon the verge of tears every day it is difficult to do anthing its even hard to write this post i dont know what to do anymore i wake up everyday feeling like i am being tortured its been 5 months and it is driving me nuts feeling like i cant escape i could really use some words of wisdom right now,suicidal,high
"""Suicide has now become my new world and I am desperately searching for answers. Because to those that knew him besâ¦ https://t.co/l2nYZIdS7k",suicidal,high
"@iwrotethis: Nope, you just caught me, cheers, I'm sure I will. Hope the sunshine holds out for you",non-suicidal,low
glad to see spring making a comeback in Denver today!,non-suicidal,low
@Vince_Craine Glad to see you've toned down your sell. Still like the software,non-suicidal,low
i cant stop fucking upi amselfish gutless disrespectful spiteful rude self righteous arrogant ignorantim forgetful unfelpful self centeredim stupid clutzy lazy depressed constantly exhausted i havent filled out any of my college applications because i didnt even plan on living this long i just want to die so i can stop disgracing my family and inconveniencing my mom i kind of want to be a ballistician they look at bullets from dead bodies to see what gun it came out of but honestly i am more likely to be the subject of one and i dont have any friends in or out of school why am i like this,suicidal,high
"RT @SevenShepherd: ""And a certain centurion's servant, who was dear unto him, was sick, and ready to die."" ~Luke 7:2 #Jesus #God #Bible",suicidal,low
Had a nice lunch time for some work now.,non-suicidal,low
"Feel lucky to work with 2 shining young stars in #Healthcare, honored by @Forbes #30Under30 today ...â¦ https://t.co/dkqUolP2RV",non-suicidal,low
@julouille3 Let me hate myself god fucking damn it,suicidal,high
Raikb is not tired of everything,non-suicidal,low
@nerdd I was pretty sure that you were checking new Tweets on your iPhone during the meeting,non-suicidal,low
@simonbigpicture Of course! I just don't trust any single source or filter of data,non-suicidal,low
@JessicaHamby I LAUGHED SO HARD at that statement. SO hard. I needed that thank you.,non-suicidal,low
"i want to wake up, watch the sunrise and sun set, then go to sleep everyday forever.",suicidal,moderate
@rivensky Haha. Well I have more but I don't have to do anything but file the rest away or delete them.,non-suicidal,low
"@joniconix Ah, you refer to the tabloid not letters. I see. In that case I must add an additional rephrasing. &quot;I don't.&quot;",non-suicidal,low
"thanks to @Posh_Totty cant wait to get home from work tonight, for some reason",non-suicidal,low
when that muffin guy said âplease somebody kill meâ I felt that shit,suicidal,moderate
i am newly married and my husband is wonderful i love him so much we are very much in love so why am i suicidal i honestly cant figure it out 9 days out of 10 i am absolutely fine happy positive excited about life then it hits me depression crippling anxiety suicidal thoughts i cut i cry i crumble on days like this i cant believe that anyone cares at all about me except my husband then i feel like i dont deserve him and sometimes push him away whats wrong with me what should i do i just cant shake the thought that everyone would be better off without me especially my husband,suicidal,high
"@catherinemarche Ooh, that's lovely",non-suicidal,low
sbux is exclusively playing rostam and beck i am loving it,non-suicidal,low
@Lady_Twitster Ah it's not the same since the old days when he of the orange-face was still around.,non-suicidal,low
still listening to some great music I got yesterday. amber pacific is awesome!!,non-suicidal,low
"I am just tired of everything, i wanna die",suicidal,high
i got 3 hours of sleep last night. double shot latte and i'm good,non-suicidal,low
watching Arthur cos I'm way cool,non-suicidal,low
RT @jmattjmattjmatt: When youâre trying to go out for pre-game and you hear... âAy come take this pic with your family!!!â Oh well... happyâ¦,non-suicidal,low
everything that youâve ever dreamed of,suicidal,low
Hate the fact that Iâm damn near forced to figure everything out by myself but it must be done,suicidal,moderate
"@mikedignammusic hey, your stuff's quite good can you get it on itunes?",non-suicidal,low
can't find any nice words for a .tel domain http://wortsuchen.de/ends-with-by-length/tel/ haha,non-suicidal,low
This is painful and just the thought of losing another young person to suicide makes it extremely hard to see a famâ¦ https://t.co/45IlNiJt6h,suicidal,moderate
THIS SUCKS MAN I REALLY DON'T KNOW WHAT I AM ABOUT TO DO ANYMORE RASH DECISIONS AFTER RASH DECISION. NO CONTROL OVEâ¦ https://t.co/sqvNu2Rxs6,suicidal,high
"@Carlotaxx 'Evening Carlota, not bad thanks ... a bit tired ... but that is normal ... *rolls eyes* ... ;-)",non-suicidal,low
"RT @0mysky: If you find someone that makes you happy, enjoy it... life is not fair nor give many opportunities... https://t.co/dCBwDeQVH8",non-suicidal,low
ok... now I have tkts for 2nite... Fast and the Furious! hope is GREAT after being sold out for the weekend!...,non-suicidal,low
"Scared of death, tired of living.",suicidal,high
I'm tired of living in a world,suicidal,moderate
"they dropped these fucking teasers when i was in class YEAH THEY WANT ME TO DIE, RIGHT? https://t.co/nbjoTSHmuw",suicidal,moderate
RT @palestinianho: patient: i hate myself and i want to die,suicidal,high
"@CollinB63,,Everyone says im better off but I dont want to be. I dont think that. It doesnt quite matter what I think anymore. So we out here.",suicidal,high
I want to go park.,non-suicidal,low
@Carly109 love the new song. and the chorus is real nice and catchy. gud job. who did the track and recording jordan?,non-suicidal,low
Just booked @leawoodward and I in for 4D baby scan tomorrow - very exciting - can't wait to see our little girl,non-suicidal,low
@SLDalby Why YES xx,non-suicidal,low
RT @goghsreddevils: @bosco_dumpling @CoachLanter @Cam3ronmb @Gtownfootball1 Congratulations to Coach Lanter for winning his first career gaâ¦,non-suicidal,low
@nellypt Thank you I thought it was. Pass it around. Have a great day Luv ur stuff,non-suicidal,low
@janniesTWbox But the dip keeps following me! Neh gaat alweer stuk beter gelukkig. Just one of those days!,non-suicidal,low
I getting tired of living the same day every single day,suicidal,moderate
@carriee93 we just got a picture with my boyfriend. thats what that is,non-suicidal,low
So cut my wrist and black my eyes,suicidal,high
"@slxmdunk,United Kingdom,@Pamaj what hapens if i dont want to be here anymore?",suicidal,high
"@theschwasound @feraljokes @BethLynch2020 Fuck, somebody come kill me please.",suicidal,crisis
&quot;is in awe of everything she sees your way&quot;,non-suicidal,low
@vindiekins I almost feel bad for my next post. Almost.,non-suicidal,moderate
"@TylersDunflower,Trench,I'm not feeling happy",suicidal,moderate
"mafumafu: ""OH SH IT oH G OD"" *scrambles to get everything he didn't pack*â¦",suicidal,low
@solareclipse2k http://twitpic.com/2y3i4 - Totally love this pic! Are you singing it in Finnish?,non-suicidal,low
"There is only One seat at The Church of Jason. My Life; My Choice; My Belief; My artistic expression. Sorry, thereâ¦ https://t.co/cIilCixUQK",suicidal,low
totally craving chocolate and starbucks...only 4 days left,non-suicidal,low
if i tell a psychiatrist that i am suicidal will they immediately have me shipped away and handcuffed to a bed i always lie,suicidal,high
FUCK YOU I FUCKING HATE YOU,suicidal,low
"sooo cool thanks so much, our stuff just shipped so I should have soon. your the best",non-suicidal,low
"@malhere hope u have a good ride if the weather is decent, if only the weather was like that where I live",non-suicidal,low
"im hoping my stress level will go down when my aunt is gone... i cant relax, am exhausted, and can't focus on a damâ¦ https://t.co/7eRvPZ4rpS",suicidal,moderate
RT @chimchim246: @987fm #SpeakYourselfSG iâve always hated my life. Iâve always felt like thereâs nothing to live for but BTS has helped meâ¦,suicidal,high
Damn .. I hate when I type so fast and the autocorrect changes go unnoticed ..smh at myself ð¤¦ð½ââï¸,suicidal,low
My Cullen family jewellery set arrived this morning! So happy!,non-suicidal,low
@katahay i adore your music. you are extremely talented,non-suicidal,low
FUCKING END MY LIFE,suicidal,crisis
LOLOLOLOLOL I HATE HOW I TRUST PEOPLE WITH UGLY PICTURES OF MYSELF AND THEN THEY BREAK THAT TRUST LIKE LOL DAMN OK IT BE LIKE THAT SOMETIMES,suicidal,low
@mikebairos we don't have tix just going to attend festivities,non-suicidal,low
i dont know why i keep trying my home life has always been incredibly toxic and my parents have always been a major contributor to my depression and anxiety i just feel like a worthless individual i dont have a job and i am not doing anything and i have no motivation to even leave the house let alone my bed all my life shit like this has continued to happen to me and sometimes i look at all the pills i have to take and consider just shoving a handful in my mouth and ending it all but most of the time i just lie in my bed and wish i could die without actually having to kill myself because i am a coward i am so tired of hearing that things are gonna get better,suicidal,high
Is on the train more shopping Yay,non-suicidal,low
Is awesome i do believe you're all jealous. But i sorta dont wanna go to dancing tonight. Someone else drive me?,non-suicidal,low
Got banned in my boy Clayster's chat by his thot gf @Lunalovebadxo for saying its sad how CoD pros wake up at 4 PMâ¦ https://t.co/9FJuA5dlC9,suicidal,low
Data.gov comes to life! (even in the form of a jpeg image - all great things start like that ) http://data.gov/,non-suicidal,low
@baikini I don't want them using my phone.,non-suicidal,low
@coy0te Good morning! Feeling happier today?,non-suicidal,low
me: âoh my god i want to fuckin die i hate myself im so lonelyâ,suicidal,high
"@nminers Wherever the day takes us! On route to Youlgreave at mo, sun is waking up!",non-suicidal,low
@LaurenFisher obey the last fm algorithm. maybe it would turn out you really do like scooter if you gave him a chance,non-suicidal,low
Last few hour in England...,non-suicidal,low
RT @uglythxughts: Im tired of everything that is going on in my  life,suicidal,moderate
@alonpeer 10x man any tips or ideas?,non-suicidal,low
"RT @Soulwhisperer3: When you're tired of living your life, all you can do is close your eyes and go to sleep...",suicidal,high
she is not tired of everything.,non-suicidal,low
RT @MileyCyrus: Completely devestated by the fires affecting my community. I am one of the lucky ones. My animals and LOVE OF MY LIFE madeâ¦,non-suicidal,low
RT @B8SSONS: i hate feeling the way i do,suicidal,moderate
"damn, what is this crazy life of mine",suicidal,moderate
getting my english doneee!!!!!!!! ahh cant wait till holidays,non-suicidal,low
i almost attempted suicide again when someone blackmailed me and threatened to have me thrown in jail for something i didnt do he knew where i worked and my parents names,suicidal,high
the damn 3D movie glasses... I hate myself,suicidal,moderate
i was assigned to sit next to the most awesome student in my class (Y) hahaha,non-suicidal,low
"@__TheRealSkp,Barcelona, Spain,RT @kbdoll2_: Even though WE DONT WANT too, we know that we have too believe that youâre not here anymore and we know that we have to be stâ¦",suicidal,moderate
he is not tired of everything.,non-suicidal,low
@FuckenJew Too shy for that. Plus he already stole my brain in my sleep.,non-suicidal,low
ooo apple store is down ... so close? Credit card ready,non-suicidal,low
RT @LSUBonnette: Had a feeling it was going to be a great day got to meet John Stockton before the game,non-suicidal,low
@nellclothing @TdMPhotography Crikey! Check out the Manfrotto worshipers!,non-suicidal,low
RT @NiallOfficial: 2 wins in 2 weeks . Congratulations @TyrrellHatton ! Machine,non-suicidal,low
@pinksealight haha 2 am lol omg IM FREEZING TOO!! haha,non-suicidal,low
I fucking get it that Iâm almost done with the semester but I feel like itâs too much shit I have to do. I feel likâ¦ https://t.co/rmKzCdSSNI,suicidal,moderate
Ive had enough of life and the pain it causes,suicidal,high
@D_Silver i saw your photos! hot!,non-suicidal,low
"Not just because the House has NEVER had a Black woman in leadership, but becauseâ¦",non-suicidal,low
ptsd and alcohol i had some extremely horrible violent stuff happen to me a few years ago i was 21 nowi am26 i forgot about repressed it or whatever for several years something unrelated one day made me remember everything it all came flooding back into my mind and it was like i was reliving it all and felt like i was having a never ending panic attack for about 4 days this buried trauma explained a lot about why my alcohol pornography cigarette usages were all insanely high to the point they fucked up my life and relationships with people close to me in signifigant waysi amafraid to talk about what happened to anyone even people i trust like my family or a potential therapist due to extreme irrational paranoia about the people involved finding out and hurting me again and sometimesi amjust completely consumed by negative horrible thoughts and cant escape them i tried getting a sliding scale therapist a couple years ago and even t and gave up on the idea of therapy i dont know what to do i dont want to give up ,suicidal,high
http://twitpic.com/2ydkg - Time to bust out the Green Wing,non-suicidal,low
@Jeicky_the_cat @skwi69 Thanks,non-suicidal,low
"To no one: I'm not fucking okay, stop asking me if I am. Stop asking me what's wrong. If I knew then I'd fucking saâ¦ https://t.co/iIXwUtp35x",suicidal,high
What a great feeling and never gave up well done @67Shakey @BeWiser kept a cool head all weekend. #age is nothing https://t.co/GDFHwwsk2s,non-suicidal,low
"Today, one year ago, I lost a neighbour, and friend, to #suicide. So here is a quote that got me through my worst tâ¦ https://t.co/a83mtDdWsA",suicidal,low
"i'm leaving forever, if you'll miss me whatever",suicidal,high
@chipcoffey That is great to hear!! Thanks Chip!,non-suicidal,low
Big Law Killed My Husband': An Open Letter From A Sidley Partner's Widow https://t.co/fm1oCvjRYy  #Suicide #Depression #Shame,suicidal,moderate
@mileycyrus lol the conbrainer store thats cute,non-suicidal,low
preparing for death letting things go i just have one last thing to let go of not trying to get people to panic and attempt to save me as if they could just feels good to be real somewhere to share whats going on to wonder if it will make someone else feel less alone perhaps just me ,suicidal,high
whoever replied i cant see it but just kno i said what i said and go see aquaman directed by james wan on dec 21 https://t.co/G1lMtPk12l,suicidal,low
if i am not happy by age 25 i think its best that i just die i am 19 years old i have had anxiety my entire life and depression since i was 12 and its gotten worse and worse over the years add misophonia to that and it makes life torture its especially bad now because i dont know what the fucki am doing in life the only reason i have to live is for my friends and family and because i am too scared to die which is ironic because i wish i was dead most of the time or at least i wish i had never been born but life is scary too anyway if things dont get better in the next 5 years then i fucking quit or maybe i ll pussy out like the pathetic piece of shit coward i am i dont know ,suicidal,high
Really fuckin want this portion of my life to be over.,suicidal,high
@BruceLaBruce lol i'm thinking of moving to Berlin,non-suicidal,low
"Eating an Ed's waffle, with icecream cream n chocolate sauce. OMGOSH amazing!!!!",non-suicidal,low
One month from today we'll be on that plane headin' for NY!!,non-suicidal,low
I want to play with it.,non-suicidal,low
@joemcintyre WELCOME TWEET&lt;3 LETS GET THIS!!!!!!!!!!!!,non-suicidal,low
Wishing you all the happiness and love in theâ¦,non-suicidal,low
@beijingboyce &quot;ice&quot; Why?,non-suicidal,low
@SowaTheArrogant Well he was partially right! I do want him to get sick and die and I would dance on his grave! Mayâ¦ https://t.co/5AzPorJUos,suicidal,low
didn t kill myself yet i guess that is something to be proud of i had a gun but my roommate found it planning on finding a lonely bridge to end it i really want a reason to live but i just can t find one,suicidal,crisis
@tommcfly yummy starbucks!,non-suicidal,low
@rabbitroodle And me too! *YAY!* GOOD MORNING!!!,non-suicidal,low
My heart is so crushed.,suicidal,moderate
@zergmoney tweet dreams,non-suicidal,low
@balsamicth I couldn't hit you up? I hate it when this happens. I hate myself when i do it. Yet i do it constantly.â¦ https://t.co/WZwSi1OKCm,suicidal,moderate
That skill takes time and iq. As a center he could run other bigs off the floor and force other teams to go small aâ¦ https://t.co/i0I3FKsgBt,suicidal,low
@tommcfly i wouldnÃ¯Â¿Â½t say &quot;the best books ever written&quot; but they are quite close though i was a bit disappointed about the 7th,non-suicidal,low
@weinerburger haha it was alright. we ended up paying abt $900. and yes i am coming to school tmoro oh oli pood tday! ;D,non-suicidal,low
"RT @TameraMowryTwo: Happy 6th birthday Aden! Alaina was excited to come to your birthday party. But as you said buddy, âShe lives in your hâ¦",non-suicidal,low
RT @albanese778: I fucking miss you :( but youâre probably better off without me.,suicidal,moderate
"Good Morning! With apologies to my MState friends, all I have to say is Woohoo! Tar Nation! Better luck next year, boys!",non-suicidal,low
"@Pixieguts really???? why? Call superman, he can save you!!!! We need ya!",non-suicidal,low
"@monster344, how great is that?",non-suicidal,low
"@Farbelowaverag1,,And I just dont want to fucking be here anymore. Please someone just fucking end me because I know itll be worse for everyone if I do it myself and fuck do I want to but please please someone just kill me please",suicidal,crisis
"@writingprincess Also, do you own any designer clothes?",non-suicidal,low
vacancy starring kate beckinsale and luke wilson gonna watch it fariah lynnnnnn rocks !,non-suicidal,low
"I donât hate the player I hate the game, Jess Glynne is probably an awesome person but I will kill myself or someonâ¦ https://t.co/kIkyGgqYus",suicidal,high
death cant be much worse i am 22 male my girlfriend left i have been staying late in the office for too long because i cant cope with the workload friends are non existent hate my family and they hate me i just want to die i dont see any other option at this point,suicidal,high
is cleaning up. will start anew.,non-suicidal,low
"@drrnlvngstn can i have yours? clouds have come in, i fear i may be too late to enjoy the weather",non-suicidal,low
me: i want to die and be dead,suicidal,high
"@AbigailBrooke29,With Jake :),RT @yxrx_x: I desperately and whole heartedly dont want to be here anymore.",suicidal,high
this summarize what happened at boc chrismas special when all of them are in a chaos we still have mile phakphum romsaithong who is very calm in everything,non-suicidal,low
"I fell in love with her courage, her sincerity, and her flaming self respect. I love her and it is the beginning of everything.",non-suicidal,low
tom chaplin marry me please. i melt for you hahaha.. o and pearshapebodygirl stopped talking to me! YES!,non-suicidal,low
"My band director just said &quot;As King Julian would say, don't play like pansies!&quot; LOL",non-suicidal,low
is going to take a nap before going for BM tuition.,non-suicidal,low
@Valvert : have a nice day to,non-suicidal,low
"@marcammann yah, hope so btw. if you want to, we could do dinner this thursday",non-suicidal,low
@Melissa_Lyford You're such a sweet daughter-in-law! I hope it goes well today!,non-suicidal,low
The Orange TV #iPhone app is really disappointing. Low quality video streams and obviously nothing interesting on the TV,non-suicidal,low
@SonjaNorwood I see you are a fast learner LOL You went to no messages to a few pages full in just one night! Go head Ms Sonya!,non-suicidal,low
is watching some of his old stuff on Youtube... ahhh the memories,non-suicidal,low
@LindseyLobo How did you know?? I LOVE it!,non-suicidal,low
@JoannaButler he should tell them that his sister fixed it,non-suicidal,low
@willcarling How's the ski jumping going? Have you beat the missus yet?,non-suicidal,low
I jst sneezed twice. Me thinks there's at least one ghost in my house now.,non-suicidal,low
"@saraayk5,,RT @jaemverse: i just dont want to be here anymore",suicidal,high
"Good morning, everyone! I hope you have a great start to the day! *raises cup of coffee*",non-suicidal,low
"@paulissima It's just a toolbar with a set of functions, not very special. Actually it's not that specifically useful for a translator.",non-suicidal,low
why is it that everyday i hate my life more and more i really feel im destined to be miserable forever,suicidal,high
Cut my wrist and black my eeeeeyes,suicidal,high
@nomadicmatt i'd like to be linked on your site http://www.worldresolution.net/travel,non-suicidal,low
horror scope: &quot;doing boring desk work will take constant mental readjustment now&quot;. and that's different from every other day how?!,non-suicidal,low
--&gt; @katyperry in June (28) in Portugal!! I don't know... should I go? Or is just another catching song?!?,non-suicidal,low
@jinjaDev watch out for the 2pm brick wall that jumps out at you once the caffeine rush ends,non-suicidal,low
"@nicolerichie and @joelmadden 's little love tweets are so cute However, @aplusk and @mrskutcher 's make me want to vomit.",non-suicidal,low
i want to die where can i go to commit suicide give me an injection as i am unconconscious and end my nightmare life i want to die,suicidal,crisis
my wife: on his will it says he's left all his updog to you,suicidal,low
@AngelaMaria1858 5 but my italian is basic for now,non-suicidal,low
She was tired.,non-suicidal,low
"@WyattEarpLA Iâm actually tired of this!!! Itâs like living in a home where the troubled, deceitful child always wiâ¦ https://t.co/qsFqOPfqJP",suicidal,low
"i'm home from school, yay! wasn't that bad actually, and i had a nice dinner with graceeeeee.",non-suicidal,low
Time to fly! Ord-dca-ord-clt 16hrs clt-ord-iad-mco 13hrs mco-ord hm in time for date night,non-suicidal,low
@rainbowdarling lol you and me both. Grumpy and bitter.,non-suicidal,low
@Shesouldeep yup me too,non-suicidal,low
@snigdha are you expecting?,non-suicidal,low
Oh my god if that Jim Acosta did to that woman was fucking abuse WHAT DO YOU THINK TRUMP HAS DONE TO FUCKING WOMENâ¦ https://t.co/U1eFGgIyuy,suicidal,low
RT @myonlyTAEger: Knets try to describe how V looks like in real life,suicidal,low
@MrsZee Go you,non-suicidal,low
The jobs front doesnt look so bleak today !!,non-suicidal,low
daycare is so damn expensive. and the only reason why im getting a discount is because the owner knows my aunt. butâ¦ https://t.co/6Ml25B4CYE,suicidal,low
RT @llvv0i: I am not correcting anything I just live my life calmly and I have nothing to do with what is going on this miserable world,suicidal,low
@n3rdbeere MicroBlog? You have a good point!,non-suicidal,low
Fucking hell - Prada saved the day!!!,non-suicidal,low
"@likeaword I *love* it, SO exciting to see new growth everywhere! insects making most of first pollen, bustling in hedges, birdsong",non-suicidal,low
@alexiaaa hahas sucks to be you,non-suicidal,low
"RT @no_onespecixl: Know one enjoys my company and I just make everyone miserable, everyone is better off wi",suicidal,high
@fitnessbox Watch this space. Not sure how viable it is yet. Possibly though,non-suicidal,low
What did you want me to say?,non-suicidal,low
@cydneyw http://twitpic.com/2nvz6 - We're both famous,non-suicidal,low
She want to be a doctor,non-suicidal,low
gonna go cut up some chickeeeen,non-suicidal,high
#cloudforce is the top trend. I am surprised. But I couldn't have loved it more!,non-suicidal,low
"Fuck it, I can't sleep! Going shopping today",non-suicidal,low
"becaus honestly, you did nothing wrong. i dont know what the fuck is wrong with me sia. i feel worthless. you gaveâ¦ https://t.co/1RIuadu9mP",suicidal,moderate
"Itâs only the 12th and I have completed 75% of my selling goal, IâM HAPPY ð",non-suicidal,low
"@Shy_Tide,England,Yeah no i dont want to be here anymore it hurts too much and im struggling too much",suicidal,high
@rosskie so far it has been all shopping more again today heehee what u up to?,non-suicidal,low
"@markdan_03 nope, ahm.. preps for props",non-suicidal,low
Paxton fans keep up the good work ! This young lady is really talented,non-suicidal,low
jami: probably drunk driver coming onto on-coming traffic,suicidal,low
I was called in yesterday at the Guidance Counselor's office. I thought I did something bad as my ID was blocked. Iâ¦ https://t.co/jka0bYtvG9,suicidal,low
@zayleeuh damn I hate myself,suicidal,high
"hey hey hey, just joined Twitter. sounds like a nice thing",non-suicidal,low
"@ValenValdez Oh, that's good to hear. But is it over already? Or you'll continue it after the Holy week?",non-suicidal,low
@k1tten lol supp it aint fucked,non-suicidal,low
@ijamidayu Thanks Bro.. Baru dpt login WC td lps reset password balik..,non-suicidal,low
Beans on toast with Simona. Can it get any better ?,non-suicidal,low
"Good morning, @mirandaanzures .... Only about eight hours until Noodles.... The only positive thing I can think of right now",non-suicidal,moderate
@DonnieWahlberg Lucky for me I'm going to see that show in NY I hope that you will bring it to Europe too in the fall. I'll be there too,non-suicidal,low
@avalanchelynn hello!! g'mrng!! wuzup?!? hows twitterville while i was sleeping? evrythings cool?,non-suicidal,low
bb: Jackz47 Good morning fellow coffee lover Glad to know ur up with us...,non-suicidal,low
i shouldnt want to kill myself i have so many advantages in life all of my immediate family is alive and still involved in my life i have several friends who i frequently talk to i make more than enough money to live on easily but every night i go home and drink hoping i will forget about how much i just want it all to end every single moment that i am sober i spend thinking that people might actually see me for who i really am a lazy waste of space who lucked into success and wheni amdrunk i worry that people will find out thati am trying to slowly kill myself with alcohol fuck i always thought if i could just be successful i would be happy well i am not,suicidal,high
@modejunkie awww sweetness! But he's still a cutie!,non-suicidal,low
i feel like no one cares i just want to die maybe then i d feel less lonely,suicidal,high
"@MissGC : Yeah, I've seen his reply. Congrats, Dear! You must be very happy!",non-suicidal,low
"@Kaschua no!, just didn't know if you thought putting stuff on your cat was phobe instead of phile. Glad kittys like the dome.",non-suicidal,low
@tommcfly hot chocolate xx,non-suicidal,low
@fancyelastic He he! Thanks,non-suicidal,low
"@jasongaunt Yeah, lots of potential. I think they've been working on their own iPhone app for months now How are you mate? Been a while!",non-suicidal,low
@ravogd my weird dreams are a part of my life now and make me who i am xxxxxxxxx,non-suicidal,low
Looking for help on testing Prawn PDFs with Cucumber. All i can find is Prawn and Cucumber salad recipes! http://tinyurl.com/cnnn6z,non-suicidal,low
"Mesh mohm, i just wanted you to know that youâre the softest person came to my miserable life â Oh this is sweet",suicidal,low
"@judyk113 Yeah, we're going to have neither, but it's all good. Hope you do.",non-suicidal,low
"It snowed! Okay, there's not enough to build Frosty, but it snowed. As long as it's cold, it might as well snow...Enjoy your day",non-suicidal,low
I just want it to be healthy.,non-suicidal,low
@TiphaineSiovel Do I have to Tell....LOL,non-suicidal,low
"i'm fucking tired of people's tweet today omg stop treating romance like it revolves around everything, you won't dâ¦ https://t.co/nNvLE2ehr5",suicidal,low
"RT andreamvaldez: ""Trumpy Bear isnât your average meme-bred merch gone viral: It appeals to everyone and no one, itâ¦ https://t.co/yhS4IpnQTJ",suicidal,low
is about to do paper works at the eve of his birthnight! http://plurk.com/p/n0t0c,non-suicidal,low
RT @dcostaroberts: The Pentagon spent millions to prevent suicides. But the suicide rate went up instead.  https://t.co/D7BaGVTi9h,suicidal,low
"@niki_dyer @marcorubio You want every vote counted no matter if the voter is dead, move to a different precinct, ouâ¦ https://t.co/nC8PdOqUvU",suicidal,low
Iâm so tired of living and college I just wanna drop out and work somewhere far away from everyone https://t.co/Dq3rIUxtbv,suicidal,moderate
SOMEBODY PLEASE FUCKING KILL ME IM SO IN LOVE https://t.co/WbVmmKzDDh,suicidal,high
@dandad a beautifully designed fully accessible HTML website,non-suicidal,low
Morning! I have slacked for two days in twittering! But here I am again. Just finished a good run Ready to start a new day.,non-suicidal,low
"I just want to remind yâall that without Iris, Barry Allen would be dead right now. But sheâs useless right?â¦ https://t.co/vloroTurEZ",suicidal,low
@bobbyllew That could have been embarrassing! At least you remembered this time today and not this time tomorrow! Small mercies!,non-suicidal,low
I want one of those http://bit.ly/9m1kO,non-suicidal,low
Just woke up ...Good morning everyonee!,non-suicidal,low
i dont tell people how i feel because i am pretty sure nobody cares about me even writing this brings me anxiety because i know i have to interact with people i just wish i could cry myself to sleep and never wake up no one would every truly miss me,suicidal,high
@Linc4Justice nah- you're not unfortunate- i dont eat that stuff cause i want to live a few years longer- you're one of the smart ones,non-suicidal,low
Congratulations to our 5 lucky winners! ð,non-suicidal,low
But I know you want to hear about my examinations.,non-suicidal,low
RT @dccc: BREAKING: Democrats just FLIPPED #CA10 from #RedToBlue!!! Big congratulations to Congressman-elect @joshua_harder! #Midterms2018â¦,non-suicidal,low
maybe i hate myself,suicidal,moderate
"@vascopatricio Vou ler! ATD foi uma maratona.. Let's just say I'm glad it's over, lol.",non-suicidal,low
@Callmesynapse_ @Maddierawrk Thatâs not how it works and if you truly believe this then I feel sorry for you. We doâ¦ https://t.co/PIki5M0cHk,suicidal,low
https://t.co/6MPqRunPeX https://t.co/6MPqRunPeX,suicidal,low
"RT @rosettalind55: @BrettCMajor1 I`m sick and tired of listening to @JustinTrudeau saying,""First and foremost ,we`re all here to work for Câ¦",suicidal,low
"@Peerug you been puffing on that dragon again, ey?",non-suicidal,low
RT @JimmieAthletics: Congratulations to @JimmieFootball OL Anthony Vereen for being named GPAC Football First Team Offense 2018! #GoJimmiesâ¦,non-suicidal,low
@thefreerpgblog Glad you enjoyed it!,non-suicidal,low
"Your imaginary girlfriend wants an NFT for xmas, what you buying them?",non-suicidal,low
goodnight i really want to fucking kill myself,suicidal,high
